objectID,title,department,primaryImage,primaryImageSmall,has_named_creator,inferred_gender,selection_stage
323527,Furniture support: female sphinx with Hathor-style curls,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110479.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110479.jpg,False,,unknown_or_unattributed
14007,Water-lily textile,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP8057.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP8057.jpg,True,unknown,named_attribution
323478,Drachm,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-005.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-005.jpg,False,,unknown_or_unattributed
322891,Furniture support: female sphinx with Hathor-style curls,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110464.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110464.jpg,False,,unknown_or_unattributed
323508,Obol,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-29266-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-29266-001.jpg,False,,unknown_or_unattributed
323520,Furniture support: female sphinx with Hathor-style curls,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110470.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110470.jpg,False,,unknown_or_unattributed
323512,Obol,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-015.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-015.jpg,False,,unknown_or_unattributed
323573,Furniture plaque: incised waterbirds,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110497.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110497.jpg,False,,unknown_or_unattributed
323509,Hemidrachm,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-009.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-009.jpg,False,,unknown_or_unattributed
324579,Top of standard with male figure and flanking ibexes attacked by dogs,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP370180.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP370180.jpg,False,,unknown_or_unattributed
325839,Bowl,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/ME66_205_2.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ME66_205_2.jpg,False,,unknown_or_unattributed
323511,Obol,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-013.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-013.jpg,False,,unknown_or_unattributed
13863,George Washington Quilt,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT8212.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT8212.jpg,False,,unknown_or_unattributed
323479,Drachm,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-007.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-007.jpg,False,,unknown_or_unattributed
327483,Votive plaque inscribed with Sabaean dedication,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP368662.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP368662.jpg,False,,unknown_or_unattributed
329077,Head of a ruler,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-23662-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-23662-001.jpg,False,,unknown_or_unattributed
13756,Sampler,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/197225.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/197225.jpg,True,female,named_attribution
323971,Boss from a disc-headed pin,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-25848-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-25848-001.jpg,False,,unknown_or_unattributed
323972,Plaque with horned animal,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-25850-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-25850-001.jpg,False,,unknown_or_unattributed
320347,Feathered serpent head,The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-39201-004.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39201-004.jpg,True,unknown,named_attribution
324324,Handle of a flywhisk or fan,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-38927-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-38927-001.jpg,False,,unknown_or_unattributed
10810,Arcadia,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT221513.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT221513.jpg,True,male,named_attribution
328593,Monstrous male figure,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/dp22227.jpg,https://images.metmuseum.org/CRDImages/an/web-large/dp22227.jpg,False,,unknown_or_unattributed
309468,Jar with flying figure (the Oculate Being),The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-24297-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24297-001.jpg,True,unknown,named_attribution
324321,Incised cosmetic box fragments with a warrior and four women,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-38930-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-38930-001.jpg,False,,unknown_or_unattributed
327438,Winged deity,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP368657.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP368657.jpg,False,,unknown_or_unattributed
324138,Bowl with radial design of ibex horns,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-26826-003.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-26826-003.jpg,False,,unknown_or_unattributed
317802,Pestle Finial,The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DT4055.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT4055.jpg,False,,unknown_or_unattributed
14972,Decanter,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT188.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT188.jpg,True,unknown,named_attribution
13875,"Quilt, Presentation pattern",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1825.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT1825.jpg,True,female,named_attribution
325080,Plaque with falcon-headed Re wearing crown of Upper and Lower Egypt,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110663.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110663.jpg,False,,unknown_or_unattributed
325660,Openwork plaque with a striding sphinx,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-38944-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-38944-001.jpg,False,,unknown_or_unattributed
307599,Eagle relief,The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-20487-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-20487-001.jpg,True,unknown,named_attribution
13607,Embroidered coverlet,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT11599.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT11599.jpg,True,female,named_attribution
325079,Incised furniture plaque with two figures in two registers,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110662.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110662.jpg,False,,unknown_or_unattributed
327399,Vessel terminating in the forepart of a stag,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-42027-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-42027-001.jpg,False,,unknown_or_unattributed
310073,Grere'o (shield),The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-23190-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23190-001.jpg,True,male,named_attribution
13877,"Quilt, Album pattern",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP332444.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP332444.jpg,True,unknown,named_attribution
324198,Openwork plaque with a sphinx at a tree,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110556.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110556.jpg,False,,unknown_or_unattributed
891654,Bracelet with Assyrian-inspired design,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-33402-002.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-33402-002.jpg,False,,unknown_or_unattributed
315052,Effigy bottle,The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-24258-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24258-001.jpg,True,unknown,named_attribution
324937,Cloisonné furniture or cosmetic box plaque with three frontal heads,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110654.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110654.jpg,False,,unknown_or_unattributed
10956,Gilbert Stuart,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP162116.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP162116.jpg,True,female,named_attribution
322603,Molded plaque: king or a god carrying a mace,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP368640.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP368640.jpg,False,,unknown_or_unattributed
310364,Vessel with mythological scene,The Michael C. Rockefeller Wing,https://images.metmuseum.org/CRDImages/ao/original/DP-576-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-576-001.jpg,True,unknown,named_attribution
325875,Furniture element made from a hippopotamus incisor,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP115147.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP115147.jpg,False,,unknown_or_unattributed
891657,Brooch with Assyrian and Achaemenid Persian-inspired design,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-33405-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-33405-001.jpg,False,,unknown_or_unattributed
327401,Seated goddess with a child,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DT873.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT873.jpg,False,,unknown_or_unattributed
